datetime;cpu_percent;gpu_percent;cpu_temperature;gpu_temperature;id_empresa;mac_address
2025-11-02 00:00:00;59.3;91.6;86;49;2;a1:b2:c3:d4:e5:f6
2025-11-02 03:00:00;33.9;84.8;58;75;2;a1:b2:c3:d4:e5:f6
2025-11-02 06:00:00;97.6;42.2;71;67;2;a1:b2:c3:d4:e5:f6
2025-11-02 09:00:00;64.0;87.5;47;75;2;a1:b2:c3:d4:e5:f6
2025-11-02 12:00:00;71.5;58.6;61;73;2;a1:b2:c3:d4:e5:f6
2025-11-02 15:00:00;90.5;68.0;72;42;2;a1:b2:c3:d4:e5:f6
2025-11-02 18:00:00;90.2;38.9;76;52;2;a1:b2:c3:d4:e5:f6
2025-11-02 21:00:00;99.5;36.1;48;72;2;a1:b2:c3:d4:e5:f6
2025-11-03 00:00:00;96.3;56.5;41;80;2;a1:b2:c3:d4:e5:f6
2025-11-03 03:00:00;86.8;38.9;63;74;2;a1:b2:c3:d4:e5:f6
2025-11-03 06:00:00;79.9;50.9;74;67;2;a1:b2:c3:d4:e5:f6
2025-11-03 09:00:00;91.8;60.5;60;75;2;a1:b2:c3:d4:e5:f6
2025-11-03 12:00:00;61.9;79.6;72;41;2;a1:b2:c3:d4:e5:f6
2025-11-03 15:00:00;35.4;91.2;86;61;2;a1:b2:c3:d4:e5:f6
2025-11-03 18:00:00;89.7;68.5;54;86;2;a1:b2:c3:d4:e5:f6
2025-11-03 21:00:00;41.3;75.2;45;82;2;a1:b2:c3:d4:e5:f6
2025-11-04 00:00:00;62.2;83.4;84;49;2;a1:b2:c3:d4:e5:f6
2025-11-04 03:00:00;64.3;96.5;81;43;2;a1:b2:c3:d4:e5:f6
2025-11-04 06:00:00;88.2;47.7;80;41;2;a1:b2:c3:d4:e5:f6
2025-11-04 09:00:00;72.7;63.2;56;89;2;a1:b2:c3:d4:e5:f6
2025-11-04 12:00:00;78.2;51.3;78;66;2;a1:b2:c3:d4:e5:f6
2025-11-04 15:00:00;44.4;70.4;48;87;2;a1:b2:c3:d4:e5:f6
2025-11-04 18:00:00;81.5;32.6;88;46;2;a1:b2:c3:d4:e5:f6
2025-11-04 21:00:00;92.6;46.5;77;51;2;a1:b2:c3:d4:e5:f6
2025-11-05 00:00:00;67.4;71.5;85;48;2;a1:b2:c3:d4:e5:f6
2025-11-05 03:00:00;74.7;63.0;89;67;2;a1:b2:c3:d4:e5:f6
2025-11-05 06:00:00;55.7;85.3;41;88;2;a1:b2:c3:d4:e5:f6
2025-11-05 09:00:00;52.5;70.6;53;75;2;a1:b2:c3:d4:e5:f6
2025-11-05 12:00:00;78.2;40.2;58;87;2;a1:b2:c3:d4:e5:f6
2025-11-05 15:00:00;50.3;99.1;77;49;2;a1:b2:c3:d4:e5:f6
2025-11-05 18:00:00;67.6;82.9;80;60;2;a1:b2:c3:d4:e5:f6
2025-11-05 21:00:00;94.4;32.9;50;84;2;a1:b2:c3:d4:e5:f6
2025-11-06 00:00:00;50.6;73.3;64;79;2;a1:b2:c3:d4:e5:f6
2025-11-06 03:00:00;36.1;97.6;86;60;2;a1:b2:c3:d4:e5:f6
2025-11-06 06:00:00;80.4;44.1;64;84;2;a1:b2:c3:d4:e5:f6
2025-11-06 09:00:00;72.5;45.3;78;42;2;a1:b2:c3:d4:e5:f6
2025-11-06 12:00:00;57.9;71.5;83;59;2;a1:b2:c3:d4:e5:f6
2025-11-06 15:00:00;71.7;34.6;41;74;2;a1:b2:c3:d4:e5:f6
2025-11-06 18:00:00;86.0;44.2;77;40;2;a1:b2:c3:d4:e5:f6
2025-11-06 21:00:00;30.5;79.0;40;80;2;a1:b2:c3:d4:e5:f6
2025-11-07 00:00:00;59.7;74.1;84;68;2;a1:b2:c3:d4:e5:f6
2025-11-07 03:00:00;41.4;88.6;75;53;2;a1:b2:c3:d4:e5:f6
2025-11-07 06:00:00;89.2;60.8;45;84;2;a1:b2:c3:d4:e5:f6
2025-11-07 09:00:00;89.2;38.4;57;71;2;a1:b2:c3:d4:e5:f6
2025-11-07 12:00:00;83.0;34.2;54;82;2;a1:b2:c3:d4:e5:f6
2025-11-07 15:00:00;83.1;38.6;61;87;2;a1:b2:c3:d4:e5:f6
2025-11-07 18:00:00;48.7;79.1;54;73;2;a1:b2:c3:d4:e5:f6
2025-11-07 21:00:00;77.4;31.7;57;80;2;a1:b2:c3:d4:e5:f6
2025-11-08 00:00:00;79.7;67.0;48;83;2;a1:b2:c3:d4:e5:f6
2025-11-08 03:00:00;99.4;48.3;46;86;2;a1:b2:c3:d4:e5:f6
2025-11-08 06:00:00;98.1;52.8;81;55;2;a1:b2:c3:d4:e5:f6
2025-11-08 09:00:00;94.5;55.1;48;77;2;a1:b2:c3:d4:e5:f6
2025-11-08 12:00:00;94.6;62.0;73;51;2;a1:b2:c3:d4:e5:f6
2025-11-08 15:00:00;71.8;30.0;72;64;2;a1:b2:c3:d4:e5:f6
2025-11-08 18:00:00;45.6;84.8;82;67;2;a1:b2:c3:d4:e5:f6
2025-11-08 21:00:00;84.0;46.7;52;83;2;a1:b2:c3:d4:e5:f6
